Address,Price
"3175 Emmons Ave #3C, Brooklyn, NY 11235","685,000"
"Aquasco Rd, Aquasco, MD 20608","54,900"
"2565 Flatbush Ave #C-1, Brooklyn, NY 11234","239,000"
"282 Henry St #1/2, Brooklyn, NY 11201","1,325,000"
"7002 Ridge Blvd APT A8, Brooklyn, NY 11209","299,000"
"3425 Guider Ave APT 3A, Brooklyn, NY 11235","799,000"
"2815 Ford St, Brooklyn, NY 11235","999,000"
"2631 Brown St, Brooklyn, NY 11235","999,000"
"185 Plymouth St APT PHN, Brooklyn, NY 11201","4,599,000"
"1156 81st St, Brooklyn, NY 11228","985,000"
"462 6th St APT 2D, Brooklyn, NY 11215","345,000"
"279 1st St APT 4A, Brooklyn, NY 11215","650,000"
"897 Empire Blvd #6B, Brooklyn, NY 11213","250,000"
"143 Washington Ave, Brooklyn, NY 11205","1,850,000"
"345 Bay Ridge Pkwy APT 2K, Brooklyn, NY 11209","279,000"
"198 8th Ave APT 3F, Brooklyn, NY 11215","420,000"
"69 Rugby Rd, Brooklyn, NY 11226","1,550,000"
"1147 74th St, Brooklyn, NY 11228","830,000"
"54 Orange St APT E, Brooklyn, NY 11201","425,000"
"14 Park Pl, Brooklyn, NY 11217","3,425,000"
"134 Bay 28th St, Brooklyn, NY 11214","1,999,000"
"138 Willoughby St #30G, Brooklyn, NY 11201","925,000"
"145 Columbia Hts, Brooklyn, NY 11201","11,950,000"
"5210 4th Ave, Brooklyn, NY 11220","2,200,000"
"420 64th St PENTHOUSE 4, Brooklyn, NY 11220","575,000"
"193 Sterling Pl APT 1, Brooklyn, NY 11238","960,000"
"775 Lafayette Ave APT 14A, Brooklyn, NY 11221","289,900"
"382 Prospect Pl APT 8, Brooklyn, NY 11238","699,000"
"1924 Kimball St, Brooklyn, NY 11234","720,000"
"10 E 43rd St APT 2G, Brooklyn, NY 11203","285,000"
"286 Union Ave APT 3A, Brooklyn, NY 11211","1,075,000"
"287 E 55th St, Brooklyn, NY 11203","549,999"
"312 Lewis Ave, Brooklyn, NY 11221","2,595,000"
"104 24th St #K, Brooklyn, NY 11232","729,000"
"229 9th St PENTHOUSE 7B, Brooklyn, NY 11215","1,950,000"
"195 Prospect Park W APT 3D, Brooklyn, NY 11215","550,000"
"198 21st St APT 3A, Brooklyn, NY 11232","598,000"
"399 President St, Brooklyn, NY 11231","9,975,000"
"110 Lefferts Pl, Brooklyn, NY 11238","2,795,000"
"538 9th St, Brooklyn, NY 11215","3,995,000"
"2563 E 6th St, Brooklyn, NY 11235","1,099,000"
"253 Pacific St #1, Brooklyn, NY 11201","3,295,000"
"2940 W 5th St #F6, Brooklyn, NY 11224","499,000"
"2533 Cortelyou Rd, Brooklyn, NY 11226","815,000"
"966 Brooklyn Ave, Brooklyn, NY 11203","639,900"
"1981 Rockaway Pkwy, Brooklyn, NY 11236","549,000"
"2251 Plumb #1-6F, Brooklyn, NY 11229","220,000"
"1319 E 96th St, Brooklyn, NY 11236","450,000"
"832 Monroe St #2R, Brooklyn, NY 11221","565,000"
"349 99th St, Brooklyn, NY 11209","1,050,000"
"1917 W 8th St, Brooklyn, NY 11223","880,000"
"153 Lafayette Ave APT 4, Brooklyn, NY 11238","939,000"
"1119 E 10th St, Brooklyn, NY 11230","875,000"
"1050 Hancock St APT 4C, Brooklyn, NY 11221","355,000"
"50 Wellington Ct, Brooklyn, NY 11230","1,690,000"
"479 Monroe St #4R, Brooklyn, NY 11221","649,000"
"429 Kent Ave #638, Brooklyn, NY 11249","965,000"
"575 4th Ave APT 10B, Brooklyn, NY 11215","1,975,000"
"805 Fountain Ave, Brooklyn, NY 11208","499,000"
"39 Remsen St #1EF, Brooklyn, NY 11201","899,000"
"593 E 38th St, Brooklyn, NY 11203","595,000"
"436 Etna St, Brooklyn, NY 11208","460,000"
"193 Cornelia St, Brooklyn, NY 11221","1,595,000"
"9961 Shore Rd APT 5D, Brooklyn, NY 11209","285,000"
"392 14th St APT 4B, Brooklyn, NY 11215","1,395,000"
"4024 Surf Ave, Brooklyn, NY 11224","390,000"
"289 Exeter St, Brooklyn, NY 11235","1,690,000"
"1350 E 5th St APT 2N, Brooklyn, NY 11230","199,998"
"408 Saint Johns Pl APT 5E, Brooklyn, NY 11238","850,000"
"76 Battery Ave APT 4A, Brooklyn, NY 11228","665,000"
"210 E 16th St, Brooklyn, NY 11226","185,000"
"130 77th St, Brooklyn, NY 11209","1,198,000"
"260 Linden Blvd #C1, Brooklyn, NY 11226","549,000"
"2012 Ralph Ave, Brooklyn, NY 11234","800,000"
"10222 Avenue L, Brooklyn, NY 11236","649,000"
"354 S 3rd St APT 1F, Brooklyn, NY 11211","375,000"
"104 Willow St, Brooklyn, NY 11201","13,750,000"
"96 Schermerhorn St APT 6C, Brooklyn, NY 11201","1,080,000"
"524 3rd St, Brooklyn, NY 11215","4,690,000"
"25 Quincy St #2D, Brooklyn, NY 11238","449,500"
"235 Ocean Pkwy APT 7A, Brooklyn, NY 11218","599,000"
"31 Schermerhorn St, Brooklyn, NY 11201","3,395,000"
"1259A E 59th St, Brooklyn, NY 11234","519,000"
"225 S 3rd St APT 9, Brooklyn, NY 11211","405,000"
"5749 Kings Hwy, Brooklyn, NY 11203","450,000"
"2203 E 27th St, Brooklyn, NY 11229","1,150,000"
"1905 Atlantic Ave, Brooklyn, NY 11233","399,000"
"440 Kent Ave APT 9C, Brooklyn, NY 11249","1,149,000"
"16 Remsen St, Brooklyn, NY 11201","10,900,000"
"57 Avenue O APT C6, Brooklyn, NY 11204","280,000"
"160 Lincoln Pl APT 3B, Brooklyn, NY 11217","598,000"
"328 Central Ave #1A, Brooklyn, NY 11221","575,000"
"68 Lafayette Ave, Brooklyn, NY 11217","3,499,000"
"1363-1367 Sutter Ave, Brooklyn, NY 11208","749,000"
"8316 7th Ave, Brooklyn, NY 11228","1,299,000"
"149 Clinton Ave APT 1C, Brooklyn, NY 11205","650,000"
"2212 Pitkin Ave, Brooklyn, NY 11207","649,000"
"8015 6th Ave APT D1, Brooklyn, NY 11209","369,000"
"345 Montgomery St APT 5N, Brooklyn, NY 11225","500,000"
"2622 E 24th St, Brooklyn, NY 11235","1,900,000"
"2424 Ocean Ave, Brooklyn, NY 11229","745,000"
"9031 Fort Hamilton Pkwy APT 1E, Brooklyn, NY 11209","250,000"
"712 45th St APT 3C, Brooklyn, NY 11220","535,000"
"34 Eckford St APT 1A, Brooklyn, NY 11222","1,495,000"
"2070 E 26th St, Brooklyn, NY 11229","858,000"
"399 Ocean Pkwy APT 6G, Brooklyn, NY 11218","285,000"
"4207 Atlantic Ave #1B, Brooklyn, NY 11224","995,000"
"61 Martense St APT 1B, Brooklyn, NY 11226","595,000"
"164 Sterling Pl APT 3B, Brooklyn, NY 11217","899,000"
"1902 Bay Ridge Pkwy UNIT 6, Brooklyn, NY 11204","1,295,000"
"953 President St APT 3, Brooklyn, NY 11215","1,985,000"
"269 Avenue O #2, Brooklyn, NY 11230","599,000"
"119A Marcus Garvey Blvd, Brooklyn, NY 11206","1,299,000"
"267 Bay 14 St, Brooklyn, NY 11214","1,098,000"
"968 E 57th St, Brooklyn, NY 11234","799,000"
"460 Neptune Ave APT 16J, Brooklyn, NY 11224","475,000"
"1415 E 45th St, Brooklyn, NY 11234","849,000"
"40 E 43rd St APT 4F, Brooklyn, NY 11203","270,000"
"222 Exeter St, Brooklyn, NY 11235","4,650,000"
