Address,Beds,Baths,Area,Construction,Parking,Price,Latitude,Longitude
"25 Tudor City Pl APT 1704, New York, NY 10017",1,1,0,0,0,625000,40.7486361,-73.9705046
"77 Fulton St APT 21A, New York, NY 10038",0,1,0,0,0,609000,40.7090349,-74.0046918
"181 E 101st St PENTHOUSE 7, New York, NY 10029",0,1,418,0,0,695000,40.7888462,-73.9478828
"205 E 78th St APT 5C, New York, NY 10075",1,1,0,0,0,649000,40.7735187,-73.9573473
"88 Greenwich St APT 1108, New York, NY 10006",0,1,563,0,0,650000,40.7079125,-74.0140734
"175 W 13th St APT 5H, New York, NY 10011",0,1,385,0,0,649000,40.7378676,-73.9998268
"310 W 106th St #9C, New York, NY 10025",1,1,0,0,0,695000,40.801634,-73.968734
"166 E 63rd St APT 15H, New York, NY 10065",0,1,528,0,0,689000,40.7642282,-73.9654389
"161 E 110th St #6C, New York, NY 10029",1,1,648,0,0,629000,40.794732,-73.944117
"417 Grand St APT 1501, New York, NY 10002",1,1,0,0,0,695000,40.7153942,-73.9864326
"639 W End Ave #1C, New York, NY 10025",1,1,750,0,0,655000,40.792174,-73.975558
"137 E 36th St #18D, New York, NY 10016",1,1,650,0,0,660000,40.747684,-73.978788
"160 Bleecker St APT 2AE, New York, NY 10012",1,1,0,0,0,650000,40.7284771,-73.9999878
"200 E 24th St APT 409, New York, NY 10010",1,1,0,0,0,685000,40.7392286,-73.9824323
"106 Central Park S APT 9N, New York, NY 10019",0,1,513,0,0,675000,40.765454,-73.976929
"504 Grand St APT H34, New York, NY 10002",1,1,750,0,0,645000,40.7146288,-73.9818172
"330 W 145th St APT 309, New York, NY 10039",2,1,727,0,0,670000,40.8204635,-73.9362163
"255 Cabrini Blvd APT 6K, New York, NY 10040",2,1,972,0,0,670000,40.8556766,-73.9377283
"106 Central Park S APT 5N, New York, NY 10019",0,1,630,0,0,675000,40.765454,-73.976929
"621 E 6th St APT 6, New York, NY 10009",1,1,550,0,0,700000,40.7241509,-73.9803914
"362 W 127th St #1A, New York, NY 10027",0,1,0,0,0,699000,40.811977,-73.951603
"100 Beekman St APT 19N, New York, NY 10038",1,1,668,0,0,650000,40.7086059,-74.0033669
"100 La Salle St APT 11G, New York, NY 10027",2,1,950,0,0,780000,40.8131263,-73.9593297
"411 W 44th St APT 23, New York, NY 10036",2,1,700,0,0,750000,40.7602378,-73.9923442
"12 E 87th St #PENTHOUSE, New York, NY 10128",1,1,0,0,0,750000,40.781978,-73.959655
"330 E 75th St APT 4H, New York, NY 10021",1,1,725,0,0,749000,40.7698148,-73.9550863
"210 E 15th St #3LL, New York, NY 10003",1,1,0,0,0,700000,40.733533,-73.986035
"215 E 24th St APT 114, New York, NY 10010",1,2,850,0,0,789000,40.7391101,-73.9815226
"250 E 30th St APT 9F, New York, NY 10016",1,1,610,0,0,795000,40.7423095,-73.9781109
"363 E 76th St APT 9M, New York, NY 10021",1,1,850,0,0,750000,40.7706063,-73.9543643
"181 E 101st St #301, New York, NY 10029",1,1,652,0,0,795000,40.7888462,-73.9478828
"150 W 51st St APT 919, New York, NY 10019",1,1,550,0,0,739999,40.7614359,-73.982392
"350 W 50th St APT 2II, New York, NY 10019",0,1,597,0,0,725000,40.7627443,-73.9878936
"30 W 90th St APT 9C, New York, NY 10024",1,1,580,0,0,750000,40.7882952,-73.9690499
"111 4th Ave APT 8K, New York, NY 10003",0,1,500,0,0,750000,40.7323782,-73.9897476
"250 S End Ave APT 2D, New York, NY 10280",1,1,782,0,0,719000,40.7096469,-74.0162504
"20 E 35th St APT 5E, New York, NY 10016",1,1,804,0,0,799990,40.7482362,-73.9822653
"40 W 67th St APT 1D, New York, NY 10023",1,1,650,0,0,785000,40.7734301,-73.9797914
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,700000,40.820876,-73.945155
"78 W 85th St APT 6B, New York, NY 10024",1,1,640,0,0,775000,40.7856318,-73.9725246
"142 W 82nd St APT 3, New York, NY 10024",1,2,650,0,0,750000,40.7844002,-73.975747
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,0,0,800000,40.8163353,-73.9603157
"710 W End Ave #15F, New York, NY 10025",1,1,736,0,0,750000,40.7942164,-73.9735937
"127 W 112th St #2A, New York, NY 10026",1,1,702,0,0,750000,40.79995,-73.952499
"32 Gramercy Park S APT 11C, New York, NY 10003",0,1,0,0,0,715000,40.736984,-73.984841
"130 W 16th St APT 41, New York, NY 10011",2,1,0,0,0,795000,40.739115,-73.9974541
"504 Grand St APT D45, New York, NY 10002",1,1,825,0,0,729000,40.7146288,-73.9818172
"310 Riverside Dr #2002/3, New York, NY 10025",1,2,0,0,0,795000,40.800334,-73.97146
"39 E 12th St APT 701, New York, NY 10003",0,1,0,0,0,760000,40.7336612,-73.9918641
"350 E 30th St APT 6M, New York, NY 10016",2,1,767,0,0,795000,40.7413178,-73.9757407
"357 W 55th St APT 6G, New York, NY 10019",1,1,0,0,0,725000,40.7664048,-73.9859046
"523 W 121st St #1, New York, NY 10027",2,1,0,0,0,769000,40.810885,-73.960257
"165 Lexington Ave #2B, New York, NY 10016",0,1,432,0,0,800000,40.744,-73.981409
"13 W 13th St APT 6HS, New York, NY 10011",1,1,0,0,0,725000,40.735887,-73.9951789
"370 Convent Ave #4A, New York, NY 10031",2,1,921,0,0,800000,40.825071,-73.946075
"415 E 52nd St APT 1EC, New York, NY 10022",1,1,0,0,0,750000,40.7548953,-73.9641539
"104 W 70th St APT 5E, New York, NY 10023",0,1,424,0,0,750000,40.7761529,-73.9801249
"36 W 35th St PENTHOUSE C, New York, NY 10001",1,1,0,0,0,750000,40.7496711,-73.9859137
"400 W 58th St APT 4E, New York, NY 10019",1,1,750,0,0,759000,40.7686274,-73.9855734
"315 E 68th St APT 10J, New York, NY 10021",1,1,0,0,0,750000,40.6363263,-74.025232
"123 E 75th St APT 8-B, New York, NY 10021",1,1,0,0,0,775000,40.7725647,-73.9609733
"215 W 91st St APT 5, New York, NY 10024",1,1,800,0,0,729000,40.7913802,-73.9735473
"308 W 30th St APT 8A, New York, NY 10001",2,1,571,0,0,898000,40.74979,-73.996115
"20 Pine St APT 712, New York, NY 10005",0,1,0,0,0,888000,40.7077309,-74.0097165
"1619 3rd Ave APT 3J, New York, NY 10128",1,1,833,0,0,865000,40.7816107,-73.9515643
"236 E 47th St APT 22B, New York, NY 10017",1,1,0,0,0,865000,40.7530809,-73.9706821
"77 W 55th St #C7, New York, NY 10019",1,1,600,0,0,830000,40.7629803,-73.9777616
"201 E 37th St APT 6D, New York, NY 10016",2,1,900,0,0,849995,40.7476262,-73.976469
"150 W End Ave APT 25H, New York, NY 10023",1,1,850,0,0,825000,40.776586,-73.9859919
"32 Gramercy Park S APT 11F, New York, NY 10003",1,1,0,0,0,825000,40.736984,-73.984841
"111 Fulton St APT 417, New York, NY 10038",0,1,725,0,0,850000,40.709902,-74.0068431
"360 E 88th St APT 6C, New York, NY 10128",1,2,730,0,0,895000,40.7782758,-73.9490193
"181 E 101st St #603, New York, NY 10029",1,1,726,0,0,895700,40.7888462,-73.9478828
"181 E 101st St #207, New York, NY 10029",2,2,701,0,0,850000,40.7888462,-73.9478828
"200 Rector Pl APT 28G, New York, NY 10280",1,1,638,0,0,845000,40.7084895,-74.0165122
"201 E 36th St APT 11D, New York, NY 10016",1,1,904,0,0,875000,40.7469712,-73.9768308
